,year,region,driving_liceses,geo_point_2d_licenses,x_licenses,y_licenses,geo_point_2d_accidents,x_accidents,y_accidents,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
76,1999.0,Madinah,11108.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
77,2003.0,Madinah,12920.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
78,2015.0,Al-Qaseem,13631.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
79,2014.0,Al-Qaseem,29113.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
80,2017.0,Al-Qaseem,6318.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,22405.0,319.0,1446.0
81,2010.0,Al-Qaseem,36737.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
82,2013.0,Al-Qaseem,17889.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
83,1994.0,Al-Qaseem,68916.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
84,2003.0,Al-Qaseem,10666.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
85,2000.0,Al-Qaseem,12226.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
86,2006.0,Al-Qaseem,12142.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
87,2007.0,Al-Qaseem,25174.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
88,2017.0,Eastern,126816.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,81433.0,963.0,4073.0
89,2011.0,Eastern,151087.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
90,2012.0,Eastern,129971.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
91,2012.0,Assir,23136.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
92,1997.0,Assir,12204.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
93,2003.0,Assir,15693.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
94,2008.0,Assir,18800.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
95,2017.0,Tabouk,10232.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,"27.90165499, 37.2598581394",27.90165499,37.2598581394,11713.0,348.0,1243.0
96,2011.0,Tabouk,12820.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
97,1994.0,Tabouk,3282.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
98,2003.0,Tabouk,9873.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
99,2008.0,Tabouk,14928.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
100,2009.0,Tabouk,9424.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
101,2014.0,Hail,10417.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
102,2010.0,Hail,7637.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
103,1995.0,Hail,9735.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
104,2002.0,Hail,5070.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
105,2001.0,Hail,6077.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
106,2008.0,Hail,7413.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
107,2016.0,Northern Boarder,4958.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,"30.197074783, 41.8171186952",30.197074783,41.8171186952,13196.0,193.0,631.0
108,2011.0,Northern Boarder,4314.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
109,1999.0,Northern Boarder,2311.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
110,1998.0,Northern Boarder,2014.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
111,2001.0,Northern Boarder,2971.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
112,2006.0,Northern Boarder,2573.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
113,2004.0,Northern Boarder,1922.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
114,2014.0,Jazan,15621.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
115,2011.0,Jazan,10946.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
116,1994.0,Jazan,3826.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
117,1999.0,Jazan,4792.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
118,2009.0,Jazan,9437.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
119,2016.0,Najran,2153.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,3235.0,173.0,706.0
120,2012.0,Najran,9201.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
121,2000.0,Najran,4905.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
122,2006.0,Najran,5897.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
123,2007.0,Najran,7226.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
124,2014.0,Al-Baha,7268.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
125,2012.0,Al-Baha,7593.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
126,1993.0,Al-Baha,3270.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
127,1995.0,Al-Baha,2423.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
128,1998.0,Al-Baha,5110.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
129,2002.0,Al-Baha,3335.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
130,2003.0,Al-Baha,3616.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
131,2005.0,Al-Baha,2698.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
132,2014.0,Al-Jouf,9982.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
133,2012.0,Al-Jouf,10246.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
134,1994.0,Al-Jouf,2535.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
135,2004.0,Al-Jouf,4601.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
136,2012.0,Riyadh,23888.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
137,1993.0,Riyadh,103886.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
138,1995.0,Riyadh,101608.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
139,1994.0,Riyadh,110545.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
140,2014.0,Riyadh,194208.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
141,1996.0,Riyadh,110131.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
142,2017.0,Makkah,142487.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,"21.628962766, 41.2636898334",21.628962766,41.2636898334,145541.0,1641.0,10623.0
143,2016.0,Makkah,136055.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,"21.628962766, 41.2636898334",21.628962766,41.2636898334,134838.0,2243.0,12383.0
144,2005.0,Al-Jouf,3558.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
145,2008.0,Al-Jouf,10929.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
146,2009.0,Al-Jouf,10567.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
147,2010.0,Northern Boarder,3064.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
148,1996.0,Northern Boarder,1383.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
149,2002.0,Northern Boarder,2268.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
150,2009.0,Northern Boarder,3649.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
151,2015.0,Jazan,13931.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
152,2013.0,Jazan,14175.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
153,2007.0,Jazan,12634.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
154,2005.0,Jazan,5502.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
155,2015.0,Najran,1864.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
156,1996.0,Najran,3274.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
157,2008.0,Najran,7938.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
158,1999.0,Al-Baha,4246.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
159,2000.0,Al-Baha,4832.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
160,2001.0,Al-Baha,7594.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
161,2007.0,Al-Baha,997.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
162,2015.0,Al-Jouf,10233.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
163,1997.0,Al-Jouf,3565.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
164,1998.0,Al-Jouf,3476.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
165,2002.0,Al-Jouf,5940.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
166,2006.0,Al-Jouf,4846.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
167,1993.0,Makkah,65977.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
168,1995.0,Makkah,60356.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
169,2001.0,Makkah,85593.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
170,2016.0,Madinah,24540.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,"24.927534539, 39.4918237173",24.927534539,39.4918237173,14475.0,822.0,4184.0
171,2001.0,Madinah,13561.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
172,2006.0,Madinah,11204.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
173,2009.0,Madinah,11574.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,0,0.0,0.0,0.0,0.0,0.0
174,2016.0,Al-Qaseem,9180.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,25664.0,397.0,1513.0
175,2001.0,Al-Qaseem,14718.0,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,0,0.0,0.0,0.0,0.0,0.0
176,2013.0,Eastern,123325.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
177,1996.0,Eastern,8461.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
178,2002.0,Eastern,85035.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
179,2000.0,Eastern,65767.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
180,2001.0,Eastern,74119.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
181,2006.0,Eastern,79517.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
182,2007.0,Eastern,106511.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
183,2008.0,Eastern,104626.0,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,0,0.0,0.0,0.0,0.0,0.0
184,2014.0,Assir,29552.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
185,2011.0,Assir,24515.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
186,1999.0,Assir,14625.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
187,2002.0,Assir,20417.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
188,2000.0,Assir,18622.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
189,2006.0,Assir,20330.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
190,2007.0,Assir,10835.0,"19.1387847401, 42.941470036",19.1387847401,42.941470036,0,0.0,0.0,0.0,0.0,0.0
191,2015.0,Tabouk,915.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
192,1993.0,Tabouk,3174.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
193,1997.0,Tabouk,5426.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
194,2002.0,Tabouk,8794.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
195,2005.0,Tabouk,6511.0,"27.90165499, 37.2598581394",27.90165499,37.2598581394,0,0.0,0.0,0.0,0.0,0.0
196,2016.0,Hail,54507.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,"27.400845724, 41.4406960508",27.400845724,41.4406960508,10199.0,299.0,932.0
197,1993.0,Hail,10484.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
198,1996.0,Hail,10267.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
199,2003.0,Hail,3861.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
200,2006.0,Hail,8166.0,"27.400845724, 41.4406960508",27.400845724,41.4406960508,0,0.0,0.0,0.0,0.0,0.0
201,2003.0,Northern Boarder,1705.0,"30.197074783, 41.8171186952",30.197074783,41.8171186952,0,0.0,0.0,0.0,0.0,0.0
202,1995.0,Jazan,2284.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
203,1998.0,Jazan,2613.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
204,2003.0,Jazan,5220.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
205,2004.0,Jazan,5016.0,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,0,0.0,0.0,0.0,0.0,0.0
206,2017.0,Najran,13825.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,3193.0,194.0,766.0
207,1993.0,Najran,3769.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
208,1997.0,Najran,3073.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
209,2002.0,Najran,5117.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
210,2005.0,Najran,4779.0,"18.4511003068, 46.8688495726",18.4511003068,46.8688495726,0,0.0,0.0,0.0,0.0,0.0
211,2010.0,Al-Baha,7076.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
212,2013.0,Al-Baha,7482.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
213,1997.0,Al-Baha,3027.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
214,2006.0,Al-Baha,3593.0,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,0,0.0,0.0,0.0,0.0,0.0
215,2017.0,Al-Jouf,8091.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,10469.0,240.0,862.0
216,1993.0,Al-Jouf,2884.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
217,1995.0,Al-Jouf,2270.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
218,1999.0,Al-Jouf,3950.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
219,2007.0,Al-Jouf,9097.0,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,0,0.0,0.0,0.0,0.0,0.0
220,2010.0,Riyadh,31378.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
221,2003.0,Riyadh,26076.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
222,2000.0,Riyadh,45345.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
223,2006.0,Riyadh,36059.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
224,2008.0,Riyadh,36798.0,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,0,0.0,0.0,0.0,0.0,0.0
225,2011.0,Makkah,110647.0,"21.628962766, 41.2636898334",21.628962766,41.2636898334,0,0.0,0.0,0.0,0.0,0.0
226,2017.0,Madinah,36165.0,"24.927534539, 39.4918237173",24.927534539,39.4918237173,"24.927534539, 39.4918237173",24.927534539,39.4918237173,16070.0,580.0,2917.0
